NOM;ANNREF;GEOGRAPHIE;GEOGRAPHIE_LIB;IPPAP_DIM1;IPPAP_DIM1_LIB;IPPAP_DIM1_MOD;IPPAP_DIM2;IPPAP_DIM2_LIB;IPPAP_DIM2_MOD;IPPAP_DIM3;IPPAP_DIM3_LIB;IPPAP_DIM3_MOD;VALEUR;QUALITE
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Fevrier;002;130.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Mai;005;128.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Janvier;001;130.9;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Mars;003;130.8;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Avril;004;129.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Janvier;001;132.9;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Mai;005;130.6;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Fevrier;002;132;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Mars;003;132.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Avril;004;130.6;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Fevrier;002;109.9;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Mars;003;110.8;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Janvier;001;111.2;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Mai;005;112.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Avril;004;109.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Mai;005;113.5;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Janvier;001;103;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Mars;003;106.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Avril;004;105.2;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Fevrier;002;103.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Orge;005;Periodicite;Mai;005;117.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Orge;005;Periodicite;Fevrier;002;111.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Orge;005;Periodicite;Avril;004;112.8;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Orge;005;Periodicite;Janvier;001;110.8;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Orge;005;Periodicite;Mars;003;111.5;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de mouture;006;Periodicite;Avril;004;111.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de mouture;006;Periodicite;Mars;003;114.8;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de mouture;006;Periodicite;Fevrier;002;114.5;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de mouture;006;Periodicite;Mai;005;117.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de mouture;006;Periodicite;Janvier;001;114.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de brasserie;007;Periodicite;Fevrier;002;106;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de brasserie;007;Periodicite;Avril;004;114.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de brasserie;007;Periodicite;Mars;003;106.5;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de brasserie;007;Periodicite;Mai;005;117;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_____Orge de brasserie;007;Periodicite;Janvier;001;105.6;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble tendre;008;Periodicite;Fevrier;002;98.9;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble tendre;008;Periodicite;Avril;004;98.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble tendre;008;Periodicite;Mars;003;101.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble tendre;008;Periodicite;Janvier;001;98.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble tendre;008;Periodicite;Mai;005;109.2;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble dur;009;Periodicite;Avril;004;90.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble dur;009;Periodicite;Mars;003;88.9;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble dur;009;Periodicite;Janvier;001;89.6;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble dur;009;Periodicite;Fevrier;002;89.2;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Ble dur;009;Periodicite;Mai;005;92.6;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Avoine;010;Periodicite;Mars;003;87;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Avoine;010;Periodicite;Avril;004;90.5;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Avoine;010;Periodicite;Fevrier;002;87;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Avoine;010;Periodicite;Mai;005;92.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Avoine;010;Periodicite;Janvier;001;87;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Sorgho;011;Periodicite;Janvier;001;114.5;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Sorgho;011;Periodicite;Avril;004;123.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Sorgho;011;Periodicite;Fevrier;002;114.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Sorgho;011;Periodicite;Mars;003;115.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Sorgho;011;Periodicite;Mai;005;123.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Triticale;012;Periodicite;Fevrier;002;103.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Triticale;012;Periodicite;Avril;004;107.2;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Triticale;012;Periodicite;Mars;003;110.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Triticale;012;Periodicite;Janvier;001;102.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Triticale;012;Periodicite;Mai;005;106.2;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Mais;013;Periodicite;Janvier;001;112.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Mais;013;Periodicite;Fevrier;002;113.6;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Mais;013;Periodicite;Mai;005;126.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Mais;013;Periodicite;Avril;004;119.1;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;____Mais;013;Periodicite;Mars;003;120.7;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Oleagineux;014;Periodicite;Mai;005;133.3;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Oleagineux;014;Periodicite;Avril;004;131.4;OUI
IPPAP;2026;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Oleagineux;014;Periodicite;Janvier;001;128.5;OUI
