NOM;ANNREF;GEOGRAPHIE;GEOGRAPHIE_LIB;IPPAP_DIM1;IPPAP_DIM1_LIB;IPPAP_DIM1_MOD;IPPAP_DIM2;IPPAP_DIM2_LIB;IPPAP_DIM2_MOD;IPPAP_DIM3;IPPAP_DIM3_LIB;IPPAP_DIM3_MOD;VALEUR;QUALITE
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Janvier;001;120.9;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Moyenne annuelle;013;135.4;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Septembre;009;140.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Mars;003;135.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Mai;005;139.3;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Aout;008;138.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Novembre;011;139.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Avril;004;138.7;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Fevrier;002;123;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Juin;006;135.4;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Juillet;007;133.4;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Octobre;010;140.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;Indice des Prix des Produits Agricoles a la Production;001;Periodicite;Decembre;012;138;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Octobre;010;143.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Novembre;011;142.9;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Aout;008;140;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Mars;003;138.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Decembre;012;139.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Avril;004;143;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Septembre;009;141.9;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Juin;006;142;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Fevrier;002;124.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Moyenne annuelle;013;138.7;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Janvier;001;123.2;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Juillet;007;139.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;_Indice general sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;002;Periodicite;Mai;005;145.2;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Novembre;011;145.4;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Juin;006;154.1;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Septembre;009;145.5;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Fevrier;002;134.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Decembre;012;139.2;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Aout;008;144.5;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Janvier;001;135.3;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Avril;004;161.6;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Moyenne annuelle;013;147.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Juillet;007;146.1;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Mai;005;162.7;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Mars;003;157.9;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;__Produits vegetaux sauf fruits et legumes, pommes de terre, fleurs coupees et plantes en pots;003;Periodicite;Octobre;010;146.7;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Avril;004;205.8;OUI
IPPAP;2022;METRO;FR metro - France metropolitaine;Indicateur;Indice Ippap base 100 en 2020 (1);001;Produit;___Cereales (production);004;Periodicite;Septembre;009;185.9;OUI
