"Libellé";"idBank";"Dernière mise à jour";"Période";"1949";"1950";"1951";"1952";"1953";"1954";"1955";"1956";"1957";"1958";"1959";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 04 ( N + P + K<40  P/N>1  K/P>1)";"010776926";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"77.6";"80.5";"87.6";"137.4";"123.3";"96.1";"112.2";"115.2";"113.5";"108.7";"110.3";"102.2";"96.3";"100.5";"104.2";"100.0";"117.2";"178.0";"179.7";"158.6";"165.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 05 (40<= N + P + K<=45  P/N<=1  K/P<=1)";"010776927";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"79.1";"82.4";"91.2";"141.6";"134.9";"99.2";"120.4";"125.1";"119.4";"110.1";"114.0";"104.9";"97.1";"100.2";"105.7";"100.0";"119.0";"196.9";"176.8";"148.7";"148.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 06 (40<= N + P + K<=45  P/N<=1  K/P>1)";"010776928";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"76.4";"79.0";"84.1";"132.4";"133.5";"98.8";"115.4";"120.2";"116.4";"107.5";"110.7";"103.9";"98.1";"100.2";"104.3";"100.0";"117.1";"194.2";"186.5";"153.8";"157.4"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 07 (40<= N + P + K<=45  P/N>1  K/P<=1)";"010776929";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59.8";"67.8";"82.9";"137.7";"125.5";"97.9";"113.2";"120.3";"116.0";"104.2";"110.3";"102.1";"97.9";"103.1";"107.0";"100.0";"124.5";"200.6";"189.8";"145.1";"145.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 08 (40<= N + P + K<=45  P/N>1  K/P>1)";"010776930";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"63.9";"66.2";"72.1";"111.4";"127.8";"95.4";"109.6";"119.9";"115.1";"104.6";"103.1";"101.8";"93.3";"97.8";"103.4";"100.0";"116.5";"204.4";"202.8";"156.6";"143.8"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 09 ( N + P + K>45  P/N<=1  K/P<=1)";"010776931";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"59.8";"61.1";"78.9";"154.4";"136.9";"102.3";"114.9";"125.6";"117.8";"111.5";"115.2";"103.7";"99.8";"106.4";"110.2";"100.0";"133.1";"244.4";"188.2";"159.0";"166.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 10 ( N + P + K>45  P/N<=1  K/P>1)";"010776932";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"72.1";"74.2";"81.2";"116.3";"132.7";"98.7";"113.7";"120.8";"118.0";"107.8";"111.5";"104.1";"98.7";"100.8";"105.2";"100.0";"114.4";"180.2";"166.5";"145.5";"147.4"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 11 ( N + P + K>45  P/N>1  K/P<=1)";"010776933";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"41.6";"41.9";"62.4";"115.3";"123.8";"107.0";"121.0";"123.6";"114.9";"104.3";"111.4";"106.0";"98.9";"103.3";"108.4";"100.0";"123.4";"204.6";"179.6";"147.9";"148.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais ternaires classe 12 ( N + P + K>45  P/N>1  K/P>1)";"010776934";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86.4";"89.6";"97.6";"142.6";"160.9";"113.2";"122.8";"127.3";"121.5";"110.6";"113.2";"106.4";"99.1";"103.6";"107.9";"100.0";"115.1";"190.2";"166.5";"148.9";"155.3"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Autres engrais, amendements et supports de culture";"010776935";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69.9";"71.6";"74.8";"83.1";"88.7";"85.2";"87.4";"91.3";"94.3";"94.9";"96.0";"96.0";"95.8";"97.5";"99.6";"100.0";"101.4";"115.0";"123.6";"118.3";"118.4"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Autres engrais";"010776936";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"62.5";"63.3";"66.3";"81.6";"92.0";"86.3";"88.9";"92.4";"97.8";"99.1";"103.0";"101.2";"100.2";"100.1";"101.7";"100.0";"104.5";"123.6";"136.5";"126.7";"124.8"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais organo-minéraux et de synthèse organique";"010776937";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64.7";"65.2";"68.3";"93.9";"107.8";"92.8";"96.3";"99.4";"101.2";"101.4";"103.4";"103.1";"100.4";"103.7";"103.7";"100.0";"106.4";"131.3";"153.5";"137.6";"130.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Engrais organique d’origine entièrement végétale ou animale";"010776938";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"65.3";"66.8";"69.9";"81.6";"92.1";"89.8";"91.8";"95.3";"98.6";"97.6";"99.8";"99.4";"95.7";"94.1";"97.9";"100.0";"103.5";"113.7";"117.2";"110.0";"109.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Oligoéléments";"010776939";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"57.6";"58.1";"60.9";"68.1";"74.7";"75.9";"78.2";"82.2";"93.2";"97.7";"105.3";"100.6";"104.1";"101.6";"102.9";"100.0";"103.4";"123.9";"135.1";"129.6";"132.2"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Amendements";"010776940";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74.6";"77.1";"80.4";"85.5";"88.6";"85.7";"87.4";"91.4";"93.2";"93.3";"92.8";"93.6";"93.5";"96.3";"98.6";"100.0";"98.9";"109.5";"115.8";"113.3";"114.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Amendements minéraux basiques";"010776941";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74.5";"77.5";"81.0";"84.2";"86.7";"86.6";"88.6";"92.9";"94.9";"95.2";"94.7";"95.0";"95.6";"97.2";"98.7";"100.0";"98.9";"106.9";"113.2";"114.5";"117.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Amendements calcaires pulvérisés, grossiers, marne, maêrl grossier, dolomie grossière et fine, calco-magnésiens";"010776942";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"75.2";"78.2";"81.6";"84.5";"86.8";"85.9";"88.0";"93.2";"95.3";"95.1";"95.2";"95.7";"96.8";"98.6";"98.7";"100.0";"101.3";"108.9";"116.3";"118.0";"119.0"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Chaux calcique et chaux magnésienne";"010776943";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74.0";"77.3";"81.7";"86.9";"90.4";"90.5";"92.4";"95.3";"96.6";"97.6";"97.6";"98.4";"98.4";"98.9";"100.1";"100.0";"101.9";"121.3";"128.0";"127.1";"128.2"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Autres amendements minéraux basiques (mixtes calciques, magnésiens, écumes de sucrerie)";"010776944";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"72.7";"75.7";"78.8";"81.7";"84.3";"86.3";"88.3";"91.0";"92.9";"94.3";"91.8";"91.2";"90.5";"92.4";"97.8";"100.0";"90.3";"93.2";"95.9";"97.4";"105.3"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Amendements organiques (fumier, compost, autres amendements organiques)";"010776945";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"74.9";"75.9";"78.7";"89.5";"94.5";"83.0";"83.8";"86.8";"87.7";"87.2";"86.8";"89.3";"87.1";"93.4";"98.3";"100.0";"98.9";"117.2";"124.0";"109.8";"106.6"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Supports de culture (tourbe, terreau, terre de bruyère, écorces, fibres de bois, terreau, terre de bruyere et autres)";"010776946";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64.8";"63.8";"65.4";"67.0";"69.5";"72.6";"77.6";"83.5";"85.7";"86.9";"88.4";"90.1";"93.4";"95.4";"97.2";"100.0";"108.7";"122.8";"129.4";"120.2";"121.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Produits bio-stimulants";"010776947";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69.3";"71.0";"74.1";"82.3";"87.7";"84.1";"86.2";"90.2";"93.0";"93.6";"94.5";"94.6";"94.4";"96.0";"98.4";"100.0";"101.7";"108.2";"114.6";"114.5";"116.1"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Produits de protection des cultures";"010776948";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"102.0";"101.7";"101.5";"104.8";"108.6";"107.8";"107.3";"107.5";"108.0";"108.2";"107.8";"107.0";"106.2";"106.7";"102.7";"100.0";"99.2";"103.3";"112.3";"109.6";"105.2"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Fongicides";"010776949";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106.0";"105.3";"104.4";"108.9";"114.7";"113.4";"112.1";"110.8";"109.9";"109.1";"108.4";"107.2";"106.7";"106.8";"103.0";"100.0";"97.8";"99.8";"109.6";"105.7";"99.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Fongicides sur cultures annuelles";"010776950";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"111.6";"110.4";"108.0";"112.8";"118.5";"117.0";"114.9";"113.3";"112.4";"111.0";"109.8";"108.8";"108.2";"107.8";"103.6";"100.0";"98.0";"99.9";"109.3";"105.8";"98.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Fongicides grandes cultures (céréales, cultures fourragères, plantes industrielles)";"010776951";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"112.7";"110.9";"108.2";"113.3";"118.1";"116.1";"114.2";"112.3";"111.6";"110.3";"109.3";"108.9";"107.9";"107.5";"103.3";"100.0";"97.9";"99.3";"108.3";"103.9";"95.5"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Fongicides betteraves industrielles et sucrières";"010776952";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"106.0";"105.7";"103.8";"106.6";"113.1";"114.4";"111.6";"112.4";"110.1";"110.5";"111.6";"109.3";"107.5";"105.7";"102.0";"100.0";"101.0";"104.5";"111.8";"117.2";"111.9"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice annuel des prix d'achat des moyens de production agricole (IPAMPA) - Fongicides pommes de terre";"010776953";"31/07/2026 12:00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"117.0";"118.8";"118.0";"123.9";"138.7";"139.0";"134.7";"131.6";"128.1";"120.1";"114.7";"108.3";"111.4";"111.3";"108.2";"100.0";"98.0";"102.2";"112.8";"111.5";"112.6"
