"idBank";"Dernière mise à jour";"IPAGRI";"﻿Base de l'indice";"Indicateur";"Correction";"Série arrêtée";"Puissance";"Nomenclature de l'indice des prix agricoles";"Zone géographique";"Unité";"Périodicité";"Nature"
"010777385";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Herbicides pommes de terre";"France";"sans objet";"Mensuelle";"Indice"
"010777387";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Herbicides protéagineux";"France";"sans objet";"Mensuelle";"Indice"
"010777388";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Herbicides cultures (fourragères, plantes industrielles : lin, chanvre et autres ; riz)";"France";"sans objet";"Mensuelle";"Indice"
"010777391";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Herbicides cultures fruitières";"France";"sans objet";"Mensuelle";"Indice"
"010777392";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Herbicides produits tropicaux";"France";"sans objet";"Mensuelle";"Indice"
"010777393";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Herbicides sur les autres cultures (légumières, horticulture, ornementale, racines, tubercules et jachères)";"France";"sans objet";"Mensuelle";"Indice"
"010777398";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides betteraves industrielles";"France";"sans objet";"Mensuelle";"Indice"
"010777399";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides pommes de terre";"France";"sans objet";"Mensuelle";"Indice"
"010777400";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides oléagineux";"France";"sans objet";"Mensuelle";"Indice"
"010777401";"04/11/2024 04:06";"1";"2020";"Indice des prix d'achat des moyens de production agricole (IPAMPA)";"Non corrigé";"oui";"0";"Insecticides sur autres cultures annuelles (protéagineux, cultures fourragères, plantes industrielles, riz, …)";"France";"sans objet";"Mensuelle";"Indice"
